1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
464	-1.104532	267.317393	4.503132	0.008032	2.9
465	-1.105634	267.262466	4.503990	0.009921	3.2
466	-1.163922	268.219598	4.489085	0.007508	3.0
467	-1.134047	268.174887	4.489779	0.011397	2.9
468	-1.103837	269.174882	4.474307	0.011347	2.7
469	-1.141930	269.119941	4.475154	0.014224	3.0
470	-1.138194	269.065001	4.476001	0.012141	2.9
471	-1.135532	270.065001	4.460623	0.013741	2.8
472	-1.157448	271.065001	4.445351	0.006422	2.8
473	-1.092524	271.010060	4.446187	0.010368	2.8
474	-1.155392	272.009982	4.431014	0.008516	2.8
475	-1.134970	273.009974	4.415943	0.008483	2.7
476	-1.139327	274.002767	4.401082	0.010984	2.7
477	-1.108395	273.947826	4.401902	0.003830	2.7
478	-1.142201	274.095135	4.399704	0.008104	2.8
479	-1.138016	274.650638	4.391438	0.008989	3.2
480	-1.115902	275.589582	4.377535	0.006692	2.9
481	-1.143750	276.588742	4.362838	0.006581	2.7
482	-1.197126	276.544860	4.363481	0.007205	2.7
483	-1.128982	277.109340	4.355219	0.015186	2.8
484	-1.108895	278.109340	4.340658	0.007801	2.8
485	-1.135434	278.054524	4.341454	0.005678	2.9
486	-1.125635	278.000493	4.342238	0.005114	2.9
487	-1.143309	278.013344	4.342052	0.012424	2.7
488	-1.148284	277.958510	4.342848	0.009366	2.9
489	-1.117539	278.958510	4.328370	0.008352	3.0
490	-1.094666	279.958422	4.313989	0.007118	3.1
491	-1.125155	280.943864	4.299910	0.004865	2.9
492	-1.108233	281.620303	4.290298	0.007656	2.7
493	-1.137032	281.584854	4.290801	0.008367	2.7
494	-1.116661	281.529938	4.291580	0.009955	2.9
495	-1.112191	282.529938	4.277441	0.008391	3.0
496	-1.127627	282.474997	4.278215	0.005471	2.9
497	-1.146883	282.420973	4.278977	0.010928	2.7
498	-1.146708	283.420796	4.264923	0.006120	2.7
499	-1.126483	283.382905	4.265454	0.008015	2.7
500	-1.156870	283.358428	4.265797	0.012620	2.8
501	-1.157079	283.303487	4.266567	0.009795	3.0
502	-1.117745	284.303487	4.252593	0.010390	2.7
503	-1.130812	284.248546	4.253358	0.007806	3.3
504	-1.160774	285.248533	4.239470	0.007517	2.8
505	-1.113571	286.248241	4.225676	0.009014	2.8
506	-1.135731	287.248235	4.211967	0.005675	3.2
507	-1.137205	287.198207	4.212651	0.014533	2.9
